pseudotime,pseudotime_index,cluster,pca_comp,value
0.7441948,1094,4,0,-6.3936014
0.7445003,1095,4,0,-6.2961493
0.7447495,1096,4,0,-5.826191
0.7448256,1097,3,0,-4.807624
0.745049,1098,3,0,-4.3449855
0.74560887,1099,6,0,-7.0277414
0.74600106,1100,3,0,-4.625193
0.7460188,1101,3,0,-4.4338484
0.74632025,1102,3,0,-4.32438
0.7465884,1103,3,0,-4.8869376
0.7466667,1104,6,0,-6.99682
0.7467122,1105,3,0,-4.3148355
0.74674034,1106,4,0,-6.0371366
0.7467579,1107,4,0,-5.5399804
0.7468763,1108,3,0,-4.4033737
0.74768656,1109,4,0,-6.424282
0.7478945,1110,4,0,-6.4199004
0.7482517,1111,3,0,-4.857916
0.74858576,1112,3,0,-4.6982164
0.74882185,1113,6,0,-7.037234
0.7490089,1114,3,0,-4.6318297
0.749391,1115,3,0,-4.3652663
0.7500621,1116,3,0,-4.7063723
0.7500948,1117,3,0,-4.718477
0.750111,1118,3,0,-4.5984116
0.7509531,1119,4,0,-6.3183317
0.75101787,1120,3,0,-4.3346505
0.75107276,1121,3,0,-4.6328053
0.75180364,1122,6,0,-7.0118365
0.75275326,1123,4,0,-5.621987
0.7530635,1124,3,0,-4.5420313
0.7536863,1125,4,0,-6.1828413
0.75407106,1126,4,0,-6.2130475
0.75415844,1127,4,0,-5.3558435
0.7541755,1128,6,0,-7.03143
0.7549756,1129,4,0,-5.599587
0.7550785,1130,3,0,-4.8806467
0.75515336,1131,4,0,-5.9514604
0.75529027,1132,4,0,-5.370454
0.75529563,1133,3,0,-4.51281
0.7555177,1134,4,0,-6.233711
0.7555643,1135,4,0,-6.380334
0.7557162,1136,3,0,-4.263226
0.75616735,1137,6,0,-7.057485
0.7563325,1138,3,0,-4.453276
0.7567314,1139,4,0,-6.1913643
0.7574017,1140,4,0,-5.556494
0.75765014,1141,4,0,-5.2496405
0.75769424,1142,4,0,-5.635514
0.75864804,1143,4,0,-6.1763263
0.7594416,1144,3,0,-4.514055
0.7603065,1145,3,0,-4.4481583
0.7605612,1146,4,0,-5.4438853
0.7607028,1147,3,0,-4.266998
0.76083523,1148,4,0,-5.699042
0.7610064,1149,3,0,-3.9144642
0.7610731,1150,4,0,-5.732258
0.7611102,1151,3,0,-4.081677
0.76173514,1152,4,0,-5.2436223
0.7617677,1153,4,0,-5.92484
0.76183146,1154,3,0,-4.188309
0.7618864,1155,3,0,-3.4211354
0.7620235,1156,4,0,-6.0272713
0.76208,1157,4,0,-5.7276106
0.76210237,1158,3,0,-3.4766138
0.7622926,1159,4,0,-5.9798098
0.7623248,1160,3,0,-4.1751804
0.7624269,1161,3,0,-3.4833133
0.76243854,1162,3,0,-3.3787274
0.7624576,1163,3,0,-3.9695718
0.76247346,1164,4,0,-5.69674
0.7625356,1165,3,0,-3.734356
0.76257116,1166,3,0,-3.3995917
0.7626882,1167,3,0,-3.631597
0.7627148,1168,4,0,-5.95301
0.7627212,1169,3,0,-3.7027702
0.76283526,1170,3,0,-3.4585805
0.7629463,1171,4,0,-5.566217
0.76301,1172,3,0,-3.4990551
0.763088,1173,4,0,-6.1009793
0.76314074,1174,3,0,-3.89037
0.7631816,1175,4,0,-5.570816
0.76331383,1176,3,0,-4.565614
0.7633786,1177,3,0,-3.7382114
0.7633913,1178,3,0,-3.739424
0.76339215,1179,3,0,-3.8692296
0.763419,1180,4,0,-5.5543876
0.7634566,1181,3,0,-3.6598868
0.7635255,1182,3,0,-3.9322999
0.76353735,1183,3,0,-3.8263721
0.76356727,1184,3,0,-3.7639503
0.76359165,1185,3,0,-3.7874775
0.7636424,1186,3,0,-3.9237387
0.7637348,1187,3,0,-4.151928
0.7637543,1188,3,0,-3.788337
0.7638726,1189,3,0,-3.789146
0.7641838,1190,3,0,-3.6102352
0.76424354,1191,3,0,-3.63038
0.76425236,1192,3,0,-3.9124885
0.7643173,1193,3,0,-3.528264
0.7643529,1194,3,0,-4.0581365
0.76436305,1195,3,0,-3.6978693
0.7643759,1196,3,0,-4.032901
0.7643853,1197,3,0,-3.6948261
0.7643995,1198,3,0,-4.242361
0.7644667,1199,3,0,-3.6370509
0.76449573,1200,3,0,-3.9454126
0.7646555,1201,3,0,-4.096533
0.76466274,1202,3,0,-4.228766
0.76467466,1203,4,0,-5.392616
0.7648389,1204,4,0,-5.370047
0.7650324,1205,3,0,-4.478031
0.76504993,1206,3,0,-3.7415578
0.76513195,1207,3,0,-3.5245106
0.7653381,1208,3,0,-4.1192136
0.76535463,1209,3,0,-4.1151133
0.7653852,1210,3,0,-3.973318
0.7654559,1211,3,0,-4.061508
0.76549256,1212,3,0,-3.6971793
0.7655729,1213,3,0,-4.23092
0.76557523,1214,3,0,-4.459434
0.7655777,1215,3,0,-4.289049
0.7657113,1216,3,0,-3.9396367
0.7657171,1217,3,0,-3.5120525
0.76574475,1218,3,0,-4.285978
0.7657534,1219,3,0,-4.093373
0.76581717,1220,3,0,-3.9025614
0.76582307,1221,3,0,-4.263905
0.76588863,1222,3,0,-3.679263
0.76588887,1223,3,0,-3.846749
0.7658948,1224,3,0,-3.9871929
0.76593065,1225,3,0,-3.7789414
0.7659439,1226,3,0,-4.273824
0.766009,1227,3,0,-3.811514
0.76602674,1228,3,0,-3.7261415
0.7660989,1229,3,0,-3.800399
0.7662061,1230,3,0,-3.6786537
0.7662393,1231,4,0,-6.129503
0.76628923,1232,3,0,-4.3858247
0.7663013,1233,3,0,-3.5381217
0.76651835,1234,3,0,-4.336525
0.76656944,1235,3,0,-4.2189007
0.7666096,1236,3,0,-3.9914296
0.7666906,1237,3,0,-4.053376
0.7667288,1238,3,0,-3.8240726
0.7668309,1239,3,0,-4.0490327
0.7668374,1240,4,0,-5.5528574
0.7668771,1241,3,0,-4.193727
0.7669717,1242,3,0,-3.5359209
0.766988,1243,3,0,-4.240186
0.7669938,1244,3,0,-4.0298185
0.7670162,1245,3,0,-4.2339215
0.7670238,1246,3,0,-4.053444
0.7673295,1247,3,0,-3.4577293
0.76739204,1248,3,0,-3.4813364
0.76763093,1249,3,0,-3.6376178
0.7677628,1250,3,0,-3.562581
0.76784253,1251,3,0,-3.9008393
0.76785594,1252,3,0,-3.7480822
0.7678697,1253,4,0,-5.7186365
0.7678906,1254,3,0,-4.2956953
0.767935,1255,3,0,-3.9249384
0.7679618,1256,6,0,-7.023633
0.7680333,1257,3,0,-3.8082159
0.7680392,1258,3,0,-3.8904126
0.7680401,1259,3,0,-3.3487074
0.76805466,1260,3,0,-4.1541123
0.7681047,1261,3,0,-4.158673
0.76812166,1262,3,0,-4.268466
0.7682909,1263,3,0,-3.5862777
0.7682924,1264,3,0,-3.7262444
0.7685354,1265,3,0,-4.3498588
0.7686063,1266,3,0,-4.2512407
0.7686428,1267,4,0,-5.322938
0.76869303,1268,4,0,-5.594782
0.76882863,1269,3,0,-3.560925
0.76888686,1270,3,0,-3.7617803
0.76888967,1271,4,0,-5.4866304
0.768912,1272,3,0,-3.8697474
0.76897234,1273,3,0,-3.8789923
0.76901203,1274,4,0,-5.669407
0.76908386,1275,3,0,-3.8337555
0.7693346,1276,3,0,-3.8579586
0.76933825,1277,4,0,-5.3024344
0.7697846,1278,3,0,-3.7794719
0.76988274,1279,3,0,-4.2075496
0.7699526,1280,3,0,-3.6332736
0.77014935,1281,3,0,-4.0733833
0.7701863,1282,3,0,-4.370417
0.7702539,1283,4,0,-5.272416
0.770272,1284,4,0,-5.6263313
0.7706175,1285,3,0,-3.391623
0.77065825,1286,3,0,-4.0901012
0.7707984,1287,3,0,-3.810343
0.77082765,1288,3,0,-3.7561064
0.77085954,1289,4,0,-5.615331
0.77095014,1290,3,0,-4.367314
0.7710689,1291,4,0,-5.5717525
0.7710824,1292,3,0,-3.6346421
0.77108794,1293,4,0,-6.209027
0.77111864,1294,3,0,-3.8289533
0.77131945,1295,3,0,-4.2258644
0.77132374,1296,3,0,-3.7579467
0.77135473,1297,3,0,-4.0053716
0.77142936,1298,3,0,-3.394775
0.7714326,1299,3,0,-3.6662865
0.7715158,1300,4,0,-5.23977
0.7715289,1301,3,0,-3.3985188
0.77153265,1302,4,0,-5.9078064
0.771559,1303,3,0,-3.406885
0.7715625,1304,3,0,-4.312297
0.77157366,1305,4,0,-5.2810516
0.77175313,1306,3,0,-4.2095823
0.7717747,1307,3,0,-3.8874824
0.7718992,1308,3,0,-3.888033
0.77191097,1309,3,0,-4.1582046
0.7719609,1310,3,0,-3.4794984
0.7720185,1311,3,0,-3.5456448
0.7720833,1312,3,0,-3.5311234
0.7720992,1313,3,0,-3.8356888
0.77210164,1314,3,0,-3.480181
0.7721459,1315,3,0,-3.4798522
0.7723007,1316,4,0,-5.739873
0.7723438,1317,4,0,-5.584022
0.77234846,1318,3,0,-3.53035
0.7725301,1319,3,0,-3.823565
0.77267355,1320,3,0,-4.086143
0.7727195,1321,3,0,-4.074504
0.7730278,1322,3,0,-4.1355543
0.77309465,1323,3,0,-3.5356376
0.773331,1324,3,0,-3.5348516
0.7734734,1325,3,0,-3.4349067
0.77347445,1326,3,0,-3.5353355
0.77358395,1327,3,0,-4.215756
0.77364475,1328,4,0,-5.348664
0.7736677,1329,3,0,-4.2164154
0.77367854,1330,3,0,-4.0180106
0.77385855,1331,4,0,-5.132121
0.7738622,1332,4,0,-5.6543837
0.7739091,1333,4,0,-5.494893
0.7739591,1334,4,0,-5.49371
0.773963,1335,3,0,-3.4475715
0.77401483,1336,4,0,-5.543637
0.774076,1337,3,0,-4.3259497
0.77417755,1338,3,0,-3.8170433
0.7742891,1339,4,0,-5.48377
0.7743566,1340,3,0,-4.248687
0.7743824,1341,3,0,-3.4879541
0.7744642,1342,4,0,-5.5240064
0.7744865,1343,4,0,-5.5203395
0.77458805,1344,4,0,-4.999079
0.77473664,1345,4,0,-5.408396
0.774744,1346,3,0,-4.2954154
0.77481556,1347,3,0,-3.6745787
0.7748803,1348,3,0,-3.6734009
0.774965,1349,4,0,-4.8210235
0.77509195,1350,4,0,-5.4134073
0.77517515,1351,3,0,-4.253376
0.7752171,1352,3,0,-3.9352536
0.77525616,1353,4,0,-5.331781
0.77526003,1354,3,0,-3.9549239
0.7752945,1355,4,0,-5.390857
0.7754113,1356,4,0,-5.165071
0.7756162,1357,3,0,-3.9982402
0.7757702,1358,4,0,-5.5037603
0.7759056,1359,4,0,-4.7936945
0.77598673,1360,4,0,-5.4060383
0.7760519,1361,3,0,-3.7192311
0.77612996,1362,4,0,-5.373535
0.7763208,1363,3,0,-3.7173688
0.77636325,1364,4,0,-5.3878975
0.7765624,1365,4,0,-5.397767
0.7765796,1366,4,0,-4.9644303
0.7767615,1367,4,0,-5.5750723
0.77690107,1368,3,0,-3.690448
0.7770227,1369,3,0,-3.6882806
0.7770468,1370,3,0,-3.6841712
0.77705616,1371,4,0,-5.2672677
0.77788264,1372,4,0,-5.045172
0.77792513,1373,4,0,-5.2960424
0.77793306,1374,4,0,-5.246035
0.778456,1375,4,0,-5.2046146
0.77849233,1376,4,0,-5.1430182
0.77857816,1377,4,0,-6.053254
0.7785917,1378,4,0,-5.293177
0.7786311,1379,3,0,-3.326328
0.77865654,1380,3,0,-3.3493211
0.7786739,1381,3,0,-3.3329918
0.7788443,1382,4,0,-4.89068
0.779046,1383,4,0,-5.080703
0.7793653,1384,4,0,-5.1980495
0.7794549,1385,4,0,-5.199825
0.7797113,1386,4,0,-5.171867
0.7797932,1387,4,0,-4.9315777
0.7800865,1388,4,0,-5.2719364
0.7801522,1389,4,0,-4.8126616
0.7802347,1390,4,0,-4.340828
0.7803467,1391,4,0,-4.8018126
0.7804692,1392,4,0,-5.310454
0.7810261,1393,4,0,-4.7379427
0.7819026,1394,4,0,-5.0408893
0.78217113,1395,4,0,-4.810187
0.78267646,1396,4,0,-5.0921054
0.7829133,1397,4,0,-5.0597343
0.7833624,1398,4,0,-5.2742634
0.7836153,1399,4,0,-4.866815
0.78369504,1400,4,0,-4.866784
0.78397435,1401,4,0,-5.04373
0.78403646,1402,4,0,-4.6826606
0.78404695,1403,4,0,-5.8079467
0.78410834,1404,4,0,-4.3048315
0.78421295,1405,4,0,-4.6952844
0.7842549,1406,4,0,-6.1906304
0.78431004,1407,4,0,-4.830563
0.7843868,1408,4,0,-5.1101007
0.7844148,1409,4,0,-4.803948
0.78447556,1410,4,0,-5.030464
0.78451055,1411,4,0,-4.8028774
0.7846747,1412,4,0,-5.0845656
0.7848957,1413,4,0,-5.0739017
0.7849333,1414,4,0,-5.7328086
0.7852756,1415,4,0,-4.7637706
0.78531593,1416,4,0,-4.7950835
0.78533745,1417,4,0,-4.756136
0.7855001,1418,4,0,-4.8647213
0.7855254,1419,4,0,-4.972301
0.78557557,1420,4,0,-5.052228
0.78569514,1421,4,0,-4.593983
0.78583103,1422,4,0,-5.0748467
0.78596276,1423,4,0,-5.2984414
0.7859749,1424,4,0,-4.944316
0.78603464,1425,4,0,-5.07242
0.7861807,1426,4,0,-4.6712017
0.7863325,1427,4,0,-4.8144383
0.7866953,1428,4,0,-5.639628
0.7867127,1429,4,0,-4.950655
0.786718,1430,4,0,-4.6728044
0.78683066,1431,4,0,-5.5413866
0.78688455,1432,4,0,-4.5257373
0.7870615,1433,4,0,-5.6802835
0.7871101,1434,4,0,-4.7702127
0.7872857,1435,4,0,-4.884527
0.7877634,1436,4,0,-5.1807323
0.78784543,1437,4,0,-5.4531884
0.78823817,1438,4,0,-4.472964
0.78831375,1439,4,0,-5.8340364
0.78840256,1440,4,0,-4.471209
0.7885359,1441,4,0,-4.452766
0.78909796,1442,4,0,-4.542903
0.7891739,1443,4,0,-5.786323
0.7893781,1444,4,0,-4.5026956
0.78947645,1445,4,0,-4.828251
0.78953236,1446,4,0,-5.5270486
0.7896478,1447,4,0,-5.4959416
0.7897158,1448,4,0,-4.214013
0.7898889,1449,4,0,-5.679982
0.79012936,1450,4,0,-4.8006735
0.790473,1451,6,0,-7.010947
0.790859,1452,4,0,-4.475908
0.7914837,1453,4,0,-4.4852047
0.79174024,1454,4,0,-5.6845164
0.7920673,1455,4,0,-4.728434
0.7921308,1456,4,0,-4.674078
0.7921571,1457,4,0,-4.470672
0.7927376,1458,4,0,-4.7485385
0.7929432,1459,4,0,-4.876807
0.7936506,1460,4,0,-4.4570723
0.7945148,1461,4,0,-4.3771605
0.7947143,1462,4,0,-5.218481
0.79474664,1463,4,0,-5.7264113
0.79495126,1464,4,0,-4.733581
0.79562503,1465,4,0,-5.187164
0.7957713,1466,4,0,-4.090785
0.7958886,1467,4,0,-5.159304
0.79620606,1468,4,0,-4.099221
0.7965237,1469,4,0,-4.471729
0.79668474,1470,4,0,-4.8321576
0.79670876,1471,4,0,-5.046171
0.7968255,1472,4,0,-4.2982817
0.7970988,1473,4,0,-5.232495
0.7972874,1474,4,0,-4.986945
0.79734963,1475,4,0,-5.220757
0.7974691,1476,4,0,-4.035564
0.7975252,1477,4,0,-4.744419
0.7978113,1478,4,0,-4.452671
0.7978638,1479,4,0,-4.051833
0.7981288,1480,4,0,-4.2798595
0.7982471,1481,4,0,-4.8500633
0.7982648,1482,4,0,-4.3113265
0.7983915,1483,4,0,-4.076661
0.79868144,1484,4,0,-4.1171393
0.7989178,1485,4,0,-5.4696417
0.7992243,1486,4,0,-5.4562044
0.79952776,1487,4,0,-4.761999
0.79986477,1488,4,0,-4.6985035
0.7999284,1489,4,0,-5.4060345
0.79996425,1490,4,0,-4.5511003
0.7999764,1491,4,0,-4.548684
0.800214,1492,4,0,-4.4073696
0.8004159,1493,4,0,-4.9299474
0.80069816,1494,4,0,-4.4273334
0.80088437,1495,4,0,-4.0885024
0.80103356,1496,4,0,-4.059418
0.8012599,1497,4,0,-3.9592562
0.8015096,1498,4,0,-4.4077277
0.80160666,1499,4,0,-4.421588
0.8016322,1500,4,0,-3.9659111
0.8016882,1501,4,0,-3.9673135
0.80251247,1502,4,0,-4.3868327
0.8031705,1503,4,0,-4.358994
0.8034694,1504,4,0,-4.339436
0.8036112,1505,4,0,-4.673616
0.80622977,1507,4,0,-4.5333133
0.8069403,1508,4,0,-4.3537416
0.8073258,1509,4,0,-4.4793143
0.8073349,1510,4,0,-4.3921556
0.8074102,1511,4,0,-5.626878
0.8074383,1512,4,0,-4.4513083
0.80744165,1513,4,0,-4.4500165
0.80918014,1514,4,0,-5.346509
0.8099724,1515,4,0,-5.5443645
0.8101859,1516,4,0,-5.5233483
0.81053466,1517,4,0,-5.4819255