0,1,2,3,4,5,time,classifier,pseudotime_index,pseudotime
0.37069166,0.0021917708,0.56845444,0.0021152017,0.053239375,0.0033075742,1,c1,1,0.33379212
0.48024184,0.008142603,0.3794017,0.013643253,0.09714172,0.021428887,3,c1,3,0.36385068
0.45271492,0.017698113,0.3652059,0.027985206,0.09463404,0.04176183,5,c1,5,0.38257623
0.35578653,0.06074905,0.34532106,0.08438,0.07933045,0.07443288,7,c1,7,0.39932215
0.29273227,0.10386347,0.30464184,0.13655001,0.06703204,0.09518035,9,c1,9,0.40907484
0.27182096,0.14470536,0.22725943,0.18524525,0.05836448,0.11260453,11,c1,11,0.4179559
0.25646982,0.17179623,0.17695606,0.21619628,0.052384384,0.12619728,13,c1,13,0.42743686
0.24856345,0.18459177,0.15139626,0.22931361,0.048613913,0.137521,15,c1,15,0.43130544
0.24566728,0.19132595,0.13823718,0.23436452,0.045575157,0.14482985,17,c1,17,0.44602007
0.26354742,0.17889743,0.1079194,0.22241254,0.04752615,0.17969708,19,c1,19,0.45465595
0.25590086,0.18967569,0.09630573,0.23465754,0.044767864,0.17869234,21,c1,21,0.47799823
0.25312197,0.20118994,0.08286365,0.24953921,0.043746542,0.16953875,23,c1,23,0.49376398
0.25706398,0.21199977,0.07213193,0.26013637,0.044580366,0.15408757,25,c1,25,0.50393045
0.25692677,0.21222992,0.06374578,0.2623132,0.045079928,0.15970437,27,c1,27,0.5226173
0.26634416,0.20713663,0.058468603,0.25524005,0.04642204,0.16638847,29,c1,29,0.5275566
0.26425752,0.20987344,0.05182585,0.2601199,0.04776082,0.16616246,31,c1,31,0.5362405
0.26031038,0.2132758,0.053966988,0.26198056,0.045433942,0.16503236,33,c1,33,0.54746187
0.26460057,0.2122341,0.05085762,0.25951958,0.047112707,0.16567545,35,c1,35,0.56884885
0.26544538,0.21166323,0.0465021,0.25982574,0.049048785,0.16751471,37,c1,37,0.5749665
0.2724513,0.20573819,0.042581964,0.25226426,0.052131604,0.1748327,39,c1,39,0.58516747
0.27592537,0.20415811,0.042429794,0.24790175,0.05140893,0.17817606,41,c1,41,0.5957076
0.28930986,0.20540813,0.026907438,0.2543589,0.119413085,0.10460261,43,c1,43,0.6013746
0.28780842,0.20184186,0.023891555,0.24909636,0.14489411,0.09246769,45,c1,45,0.6182356
0.2933777,0.20412172,0.021890752,0.24914196,0.13856414,0.09290377,47,c1,47,0.6256511
0.30240408,0.19111109,0.020406494,0.22869901,0.16679026,0.09058911,49,c1,49,0.62892306
0.315154,0.18614347,0.019883996,0.2153382,0.1647055,0.09877487,51,c1,51,0.63572353
0.32427648,0.18464322,0.020678263,0.20506757,0.16107953,0.10425495,53,c1,53,0.63723415
0.31622282,0.20809095,0.025064953,0.22039938,0.12996255,0.10025933,55,c1,55,0.64094335
0.31277317,0.18420064,0.014996369,0.20933478,0.20178272,0.07691235,57,c1,57,0.64444077
0.22043304,0.13536184,0.014490564,0.20893617,0.38639858,0.034379803,59,c1,59,0.6473318
0.20519486,0.13731109,0.014468697,0.22810756,0.3849245,0.029993305,61,c1,61,0.64887655
0.20808786,0.12976956,0.013909848,0.21131913,0.41011697,0.026796611,63,c1,63,0.650911
0.21854092,0.18000738,0.018262701,0.25859845,0.29591912,0.028671442,65,c1,65,0.6527983
0.20258588,0.21634263,0.019622505,0.34209353,0.18819444,0.03116098,67,c1,67,0.6544877
0.19517943,0.22859994,0.022622045,0.3601615,0.16300829,0.03042872,69,c1,69,0.6558261
0.19927219,0.22142386,0.025838396,0.3449413,0.17782617,0.030698108,71,c1,71,0.6581294
0.1999526,0.2290402,0.031321075,0.33960864,0.1686226,0.03145496,73,c1,73,0.66010594
0.20695837,0.24013261,0.0373097,0.33199775,0.14927438,0.0343272,75,c1,75,0.6610741
0.21212915,0.25306886,0.041136984,0.32778838,0.12910782,0.03676877,77,c1,77,0.66455066
0.20666306,0.2704908,0.048802555,0.33478296,0.10230707,0.036953587,79,c1,79,0.6687522
0.21113607,0.2710405,0.055043805,0.32948774,0.09300471,0.040287238,81,c1,81,0.6723641
0.2053036,0.27759254,0.03576263,0.34987175,0.09372461,0.037744947,83,c1,83,0.6725976
0.20890084,0.2807408,0.04183806,0.34575137,0.07929196,0.043476965,85,c1,85,0.6739024
0.21540327,0.27847496,0.04494121,0.3366918,0.07757973,0.046909064,87,c1,87,0.67498314
0.22587316,0.2725466,0.04474652,0.32594502,0.08054304,0.050345697,89,c1,89,0.67604
0.22321165,0.28256118,0.046791464,0.3260237,0.06741823,0.053993773,91,c1,91,0.67798924
0.23790854,0.26907715,0.05053808,0.31011757,0.0702402,0.06211849,93,c1,93,0.6786741
0.25449106,0.2571701,0.05158865,0.29143828,0.076478034,0.06883389,95,c1,95,0.6795744
0.26576704,0.25251934,0.050346617,0.27086237,0.09939979,0.061104823,97,c1,97,0.6799602
0.26956064,0.25132576,0.05656908,0.26434603,0.09484332,0.0633552,99,c1,99,0.68174076
0.29169816,0.23380384,0.058591306,0.2384204,0.11012754,0.06735872,101,c1,101,0.6828178
0.3159689,0.20959687,0.06007767,0.20352699,0.14409755,0.066732004,103,c1,103,0.6845103
0.3033139,0.23718223,0.06918811,0.22257602,0.10107912,0.06666062,105,c1,105,0.68602294
0.2712854,0.26321208,0.06409826,0.25739488,0.07339381,0.07061552,107,c1,107,0.6886268
0.27257207,0.26182425,0.069521554,0.25569072,0.06793085,0.07246053,109,c1,109,0.6982267
0.27400103,0.2651344,0.06984191,0.25344923,0.06705263,0.07052076,111,c1,111,0.69959027
0.28992698,0.25210178,0.070813954,0.2407068,0.06613838,0.08031208,113,c1,113,0.70303184
0.3763946,5.370573e-05,0.56676763,0.0009160758,0.016184293,0.03968366,1,c2,1,0.33379212
0.5932557,4.9843016e-05,0.33637428,0.0012996675,0.034918476,0.03410202,3,c2,3,0.36385068
0.68196815,0.0001265257,0.20326708,0.0026487862,0.0154541265,0.09653537,5,c2,5,0.38257623
0.7837361,0.0015121861,0.13265371,0.019222185,0.0033580877,0.059517775,7,c2,7,0.39932215
0.8712132,0.008846011,0.045901317,0.041634616,0.0015666133,0.030838225,9,c2,9,0.40907484
0.91062665,0.0108141955,0.010572917,0.052341633,0.0011774852,0.014467108,11,c2,11,0.4179559
0.90298057,0.014365835,0.004497125,0.069883145,0.0008366933,0.007436645,13,c2,13,0.42743686
0.93625635,0.010563515,0.0025084913,0.045936946,0.00067325553,0.0040615303,15,c2,15,0.43130544
0.94581187,0.009029653,0.0016916993,0.03981505,0.00055006356,0.0031016618,17,c2,17,0.44602007
0.9260396,0.012184151,0.0014896399,0.05742604,0.0004940111,0.0023665554,19,c2,19,0.45465595
0.94468933,0.010499447,0.0011409901,0.04161354,0.0004231874,0.0016335319,21,c2,21,0.47799823
0.961651,0.00841782,0.00086871255,0.027477916,0.00036708295,0.0012174534,23,c2,23,0.49376398
0.95388764,0.008963722,0.0007649046,0.034990083,0.0003587031,0.0010349717,25,c2,25,0.50393045
0.97763014,0.0048223455,0.00049961155,0.015998123,0.0003046698,0.00074512855,27,c2,27,0.5226173
0.97553945,0.0048281006,0.00044377893,0.018240055,0.00029521453,0.00065337436,29,c2,29,0.5275566
0.98635626,0.0030102727,0.0003311949,0.009573677,0.0002616004,0.0004670608,31,c2,31,0.5362405
0.9781367,0.0045103775,0.00036380917,0.016277561,0.00025184444,0.00045976636,33,c2,33,0.54746187
0.98986137,0.0022735216,0.00026926602,0.0070382045,0.00023526618,0.0003223894,35,c2,35,0.56884885
0.9940069,0.0015483471,0.00020599776,0.0037739144,0.00021350526,0.00025132488,37,c2,37,0.5749665
0.99594456,0.0012045327,0.0001555644,0.0022788756,0.00018935841,0.0002271365,39,c2,39,0.58516747
0.9778828,0.011049643,0.00020314576,0.009999495,0.00014462716,0.0007202623,41,c2,41,0.5957076
0.91540354,0.029561924,0.0004824116,0.053571355,0.00044956978,0.0005311233,43,c2,43,0.6013746
0.9606499,0.014529579,0.00026980194,0.02379359,0.00028420473,0.0004728394,45,c2,45,0.6182356
0.9736018,0.009844491,0.00019714505,0.015708838,0.00022576099,0.00042184183,47,c2,47,0.6256511
0.9890205,0.0041823243,0.000132707,0.006181107,0.00018954895,0.0002938063,49,c2,49,0.62892306
0.99214584,0.0031032776,9.933594e-05,0.004216334,0.00016341035,0.0002718452,51,c2,51,0.63572353
0.9894108,0.0043631787,9.550015e-05,0.0056605316,0.00015061481,0.00031934123,53,c2,53,0.63723415
0.9860736,0.007863411,9.1429225e-05,0.0054093157,0.00012615355,0.0004360738,55,c2,55,0.64094335
0.92677844,0.023118943,0.00027658071,0.049230527,0.00028010743,0.0003153961,57,c2,57,0.64444077
0.6156125,0.10200728,0.00055897207,0.2807668,0.00081094366,0.00024355038,59,c2,59,0.6473318
0.32713237,0.16657884,0.00059150736,0.5047036,0.0008617062,0.00013200534,61,c2,61,0.64887655
0.43682393,0.1102488,0.00062569,0.4516062,0.0005661424,0.00012935999,63,c2,63,0.650911
0.51999885,0.102500156,0.00064279936,0.37628612,0.00043843826,0.00013358859,65,c2,65,0.6527983
0.39478713,0.10026858,0.00065506576,0.5038054,0.0003916231,9.217992e-05,67,c2,67,0.6544877
0.5674762,0.069958575,0.0005754327,0.36151698,0.0003640355,0.000108756045,69,c2,69,0.6558261
0.8430322,0.026840378,0.00033900273,0.12939216,0.00026943756,0.00012687156,71,c2,71,0.6581294
0.93304425,0.013260657,0.0002134456,0.053154293,0.00020935712,0.000117961776,73,c2,73,0.66010594
0.9757034,0.005756293,0.00012838472,0.018148364,0.00016416585,9.9381214e-05,75,c2,75,0.6610741
0.98108035,0.00479151,0.000107166656,0.013786749,0.00013587334,9.8388744e-05,77,c2,77,0.66455066
0.9656331,0.011949989,0.00014114178,0.022031019,0.000106473686,0.0001383237,79,c2,79,0.6687522
0.9858576,0.005752326,8.1460275e-05,0.008087513,9.7527176e-05,0.00012360519,81,c2,81,0.6723641
0.8950627,0.0356451,0.00028454745,0.06876267,0.00010423744,0.00014075001,83,c2,83,0.6725976
0.9302121,0.025167013,0.00020080853,0.04418274,9.587777e-05,0.0001414117,85,c2,85,0.6739024
0.96457636,0.013971024,0.00011859355,0.021106001,9.123641e-05,0.00013687118,87,c2,87,0.67498314
0.9736506,0.010809104,9.27181e-05,0.0152274575,8.8949804e-05,0.000131266,89,c2,89,0.67604
0.9730823,0.011305696,8.645418e-05,0.015303757,8.968626e-05,0.00013203548,91,c2,91,0.67798924
0.98768604,0.0059520425,5.0330345e-05,0.0061030514,8.346804e-05,0.0001250499,93,c2,93,0.6786741
0.99256116,0.003755915,3.6753594e-05,0.0034521248,8.109473e-05,0.000113001515,95,c2,95,0.6795744
0.9948344,0.0027028155,2.9859179e-05,0.0022500104,8.041775e-05,0.000102480866,97,c2,97,0.6799602
0.99674475,0.0018647126,2.2806586e-05,0.0011949387,7.758622e-05,9.5228024e-05,99,c2,99,0.68174076
0.9979103,0.0012524712,1.90047e-05,0.0006592639,7.633788e-05,8.253352e-05,101,c2,101,0.6828178
0.99849296,0.0009360318,1.6631266e-05,0.00040512264,7.5697804e-05,7.353022e-05,103,c2,103,0.6845103
0.9978758,0.001468707,1.591349e-05,0.00046914525,6.918691e-05,0.00010118187,105,c2,105,0.68602294
0.99071515,0.006400354,2.7145154e-05,0.0026164183,6.6408495e-05,0.00017448635,107,c2,107,0.6886268
0.9939355,0.004323107,1.9901128e-05,0.0014933842,6.3651365e-05,0.00016441135,109,c2,109,0.6982267
0.99476564,0.0038311747,1.6985128e-05,0.001158009,6.299706e-05,0.000165309,111,c2,111,0.69959027
0.9960043,0.002929951,1.4493232e-05,0.0008359371,6.1362975e-05,0.00015394787,113,c2,113,0.70303184
